Admission Number,Name,Class,Phone Number,CGPA,CGPA_Category,CIVIL,CSE,ECE,EEE,IT,MECH
ADM25033,Ritesh Agarwal,2nd Year,9700001111,10.0,Excellent,0,0,0,0,1,0
ADM25034,Madhuri Patil,3rd Year,9890989098,8.1,Excellent,0,1,0,0,0,0
ADM25035,Harsh Vardhan,1st Year,9922110099,6.0,Poor,1,0,0,0,0,0
ADM25037,Zoya Ali,2nd Year,9881122334,9.3,Excellent,0,0,0,1,0,0
ADM25038,Pranav Kulkarni,3rd Year,9856856856,7.2,Average,0,0,0,0,1,0
ADM25039,Varsha Nair,1st Year,9600220011,8.6,Excellent,0,1,0,0,0,0
ADM25040,Siddharth Menon,2nd Year,9944009944,10.0,Excellent,0,0,0,0,0,1
ADM25041,Chandni Roy,2nd Year,9711771177,7.5,Average,0,0,1,0,0,0
ADM25042,Yash Thakur,3rd Year,9888776655,6.3,Average,0,1,0,0,0,0
ADM25043,Bhavana Reddy,1st Year,9009909009,9.0,Excellent,0,0,0,1,0,0
ADM25044,Imran Qureshi,2nd Year,9333331133,4.9,Poor,0,0,0,0,1,0
ADM25045,Nandini Sharma,3rd Year,9845598455,7.4,Average,1,0,0,0,0,0
ADM25046,Omkar Desai,1st Year,9696969696,8.3,Excellent,0,0,0,0,0,1
ADM25047,Tanya Mishra,2nd Year,9807654321,9.5,Excellent,0,1,0,0,0,0
ADM25048,Abhinav Sinha,3rd Year,9994569994,6.6,Average,0,0,0,1,0,0
ADM25049,Kritika Saini,2nd Year,9761122334,8.9,Excellent,0,0,0,0,1,0
ADM25050,Faisal Ansari,1st Year,9812098120,7.1,Average,0,0,1,0,0,0
ADM25051,Preeti Rani,2nd Year,9966009966,9.7,Excellent,1,0,0,0,0,0
ADM25052,Mayank Bhalla,3rd Year,9955449944,4.2,Poor,0,1,0,0,0,0
ADM25053,Sonal Gandhi,1st Year,9841269841,8.0,Average,0,0,0,0,1,0
ADM25054,Jatin Sethi,2nd Year,9709970990,6.4,Average,0,0,0,0,0,1
ADM25055,Reema Farooqui,3rd Year,9999999999,7.9,Average,0,0,0,1,0,0
ADM25057,Rohan,2nd Year,9876543210,8.0,Average,0,0,1,0,0,0
ADM25062,Zara,2nd Year,9882617730,9.9,Excellent,0,1,0,0,0,0
ADM25063,Kabir,3rd Year,9988776655,8.89,Excellent,0,0,0,1,0,0
ADM25065,Aarav,1st Year,9948677134,4.5,Poor,0,0,0,0,1,0
ADM25066,Nisha,2nd Year,9998887776,8.1,Excellent,0,1,0,0,0,0
ADM25068,Diya,1st Year,9876543210,7.9,Average,1,0,0,0,0,0
ADM25072,Kunal,2nd Year,9876543210,10.0,Excellent,0,1,0,0,0,0
ADM25073,Riya,1st Year,9405176973,8.0,Average,0,0,0,0,1,0
ADM25075,Sam,2nd Year,9876543210,8.0,Average,0,0,0,1,0,0
ADM25076,Aniket Das,1st Year,9876500000,8.2,Excellent,0,1,0,0,0,0
ADM25077,Megha Sharma,2nd Year,9811122233,10.0,Excellent,0,0,1,0,0,0
ADM25079,Pooja Hegde,3rd Year,9776655443,7.0,Average,0,0,0,0,1,0
ADM25080,Saurabh,1st Year,9943930471,0.0,Poor,0,0,0,0,0,1
ADM25081,Anushka Roy,2nd Year,9800098000,7.5,Average,0,1,0,0,0,0
ADM25082,Dev Patel,1st Year,9845045045,8.0,Average,1,0,0,0,0,0
ADM25085,Kavita Sen,3rd Year,9416432569,5.0,Poor,0,0,0,0,1,0
ADM25086,Arun Kumar,2nd Year,9812398123,8.0,Average,0,1,0,0,0,0
ADM25087,Neha Verma,1st Year,9900990099,8.8,Excellent,0,0,1,0,0,0
ADM25088,Vishal Garg,2nd Year,9876543210,8.5,Excellent,0,1,0,0,0,0
ADM25089,Shruti Rao,3rd Year,9822114477,9.3,Excellent,0,1,0,0,0,0
ADM25091,Gautam Gambhir,1st Year,9418670378,6.2,Average,0,0,0,0,0,1
ADM25092,Swati Jain,2nd Year,9488382266,9.0,Excellent,0,0,0,1,0,0
ADM25093,Rohan Mehta,3rd Year,9871122334,7.4,Average,1,0,0,0,0,0
ADM25094,Aditi Bose,1st Year,9665544332,10.0,Excellent,0,0,0,0,1,0
ADM25099,Tanvi,1st Year,9611223344,8.2,Excellent,0,0,0,0,1,0
ADM25100,Alok Nath,2nd Year,9810098100,8.0,Average,0,0,0,1,0,0
ADM25101,Zeenat Aman,3rd Year,9712345678,9.95,Excellent,0,1,0,0,0,0
